log10_amp,log10_ls_mat,log10_noise,RMSE
1.92758976504854,0.6346302346295848,-1.06060512297933,0.31525240933054627
2.4196331273630776,0.4804759907065641,-1.1180675541582734,0.3157110339189045
-1.9145165502612775,1.6229265425367698,-4.605236175182418,0.3189163283853129
-1.1552112954407499,0.775781747927512,-1.170359173384377,0.3210265666328942
-1.4758469147676572,0.43260953964023763,-1.313472998016652,0.3214207177944115
-0.07041191145681991,0.24552610982423564,-0.6440741651999782,0.3286576247468136
2.56333709133731,0.6142934279072703,-2.3533212620035604,0.3349620437308779
-1.3596155203681408,1.3994197055594801,-4.528718706714804,0.33521303376277606
-1.72961062777908,1.0855232703833493,-1.6602095779538364,0.3359787514344436
2.8799994886945846,0.8521780860577106,-3.316058430078109,0.3422635381888636
2.6815229188380885,0.5077076527294415,-2.5573911227546726,0.3426329139069754
2.3631063564175614,0.2650818223992767,-2.004269864887158,0.34270076182693915
0.6324114878801034,1.5984566299206933,-2.8561964497621504,0.35259868537042827
1.0455207454415967,0.9201584014482158,-4.30103437181937,0.3530283997690307
1.740178864802004,1.3203585294899218,-5.6142788201427045,0.35662265055881454
-0.44090025744472977,1.4186001922100897,-5.989058853464796,0.35809710641968395
0.9139833919040723,0.9890969017326847,-5.365330504819354,0.37420084034584833
2.3046524095671734,0.43299664868454624,-4.197471871256949,0.3835898652827843
1.3347316001342895,0.1407180098977813,-3.746806486008092,0.3877003700284625
-1.949405663496176,1.8758347275894953,-3.2238796051168745,0.3886553803962124
0.17498976825403145,-0.07777132515503515,-4.0498056435871534,0.41332228225694106
-1.5557407596708126,-0.13140573665837518,-5.595462457235343,0.45459666890194805
2.13677915166163,-0.2697940602591612,-4.6421470867559895,0.4807472377560335
2.084973821066825,1.2563338697894446,-0.7063943701522082,0.5693622345641844
0.28306817614862995,1.1964750390881125,-0.3752530055664422,0.6377928852264743
-1.997039651391343,-0.48221891100692515,-4.9219876595105765,0.6423162155708805
0.6374897603697494,-0.5128987153731496,-5.082144209589449,0.6745927442505644
2.8712567674410905,-0.6576313995827141,-2.4706286568397466,0.8336619116303416
-1.591265290239221,1.9879488396004223,-1.8055284315509506,0.9003878416335569
1.4464413308564192,-0.8450774825976015,-3.5552920640595036,0.9963794319717406
1.7882743946903383,1.626862491046005,-0.03215427251985893,1.005749181751186
-0.978578739949189,1.950948847840141,-0.7485143451051146,1.0112433021041927
1.6010570391109435,1.7425588351315604,-0.011865984173696898,1.031983096771366
-0.6467829622939827,-1.054861168364943,-2.1303631402975727,1.0970276199269593
0.9622670666290374,-1.151131532026659,-3.5773339784281246,1.12380913802152
0.20971699176226666,-1.3559035655300633,-1.4716358384112658,1.1590699555520616
-0.2465835336333354,-1.5876717354537537,-4.0503058118213415,1.1758421772379035
-0.5632184007338308,-1.6134214172919634,-2.982577472031109,1.1771953779480235
1.0883042563650154,-1.7053558981979036,-5.118223276289833,1.1814702606958312
-0.6583762314473123,-1.8349585705163491,-5.791779384859081,1.1861662967959432
