log10_amp,log10_ls_mat,log10_noise,RMSE
-1.9795857799596244,1.6956101864242745,-4.9953417390862525,0.25939914265298764
-1.3596155203681408,1.3994197055594801,-4.528718706714804,0.26111016542389487
-0.8799255334418827,1.1472651941904206,-3.780286694078499,0.2611597100669248
-1.9719620294103037,1.7109885962290545,-4.903684441524046,0.26124689404109697
-1.9145165502612775,1.6229265425367698,-4.605236175182418,0.2615314954360077
-0.23546981813087986,0.5956058392466808,-2.1841850656847934,0.2620504418050996
-1.974788037682491,1.3863085622031042,-4.636683631096295,0.26376538409856
-1.4758469147676572,0.43260953964023763,-1.313472998016652,0.2641274570086974
-1.0914474791210635,1.556734805865219,-5.216300401385718,0.26584147162361943
2.4196331273630776,0.4804759907065641,-1.1180675541582734,0.27010617618158567
2.92216154743427,1.4493730446204902,-5.045766986856254,0.2710452996567792
2.8799994886945846,0.8521780860577106,-3.316058430078109,0.2721984529748051
-1.8034657439241035,0.7703407282037635,-3.319556918140282,0.2830511654513225
0.7155266716198185,1.795735847812517,-4.3363789311160135,0.3016372493430329
1.0455207454415967,0.9201584014482158,-4.30103437181937,0.3281605077411868
-1.72961062777908,1.0855232703833493,-1.6602095779538364,0.33792405040901147
1.740178864802004,1.3203585294899218,-5.6142788201427045,0.3478093844217398
-1.2345469787460208,1.9040173297302263,-3.615537467975523,0.364167706786452
-1.3369211821317175,1.9874898950093305,-3.724321048528676,0.37286738754078547
-0.7484062389697874,0.7022545265342854,-0.011585299663685489,0.40536198771422477
0.17498976825403145,-0.07777132515503515,-4.0498056435871534,0.42387885529689673
-1.5557407596708126,-0.13140573665837518,-5.595462457235343,0.424789089302547
1.4823406505227603,1.0257788720201537,-5.3393850136754,0.4665978617924014
1.6855021542875654,-0.37078302539119085,-3.074089692642693,0.5303782779833847
2.3046524095671734,0.43299664868454624,-4.197471871256949,0.5413250725330625
0.5823511599974538,0.16198121801759172,-5.975140816235892,0.5533431904941902
2.084973821066825,1.2563338697894446,-0.7063943701522082,0.56845740771987
-1.3987987613022483,0.2685480696123848,-4.676611362270535,0.60488586984948
-0.09015458861377962,-0.5965819091922535,-2.3677403195161797,0.7510270073194582
-0.45472942882371375,0.6203132985803552,-5.31652080636766,0.7845084950194194
-1.1199914377383062,-0.7342285795323543,-2.570172175042079,0.8972944929654091
-1.591265290239221,1.9879488396004223,-1.8055284315509506,0.907541584521246
-0.978578739949189,1.950948847840141,-0.7485143451051146,1.0172102160930956
0.23614035977636316,-1.054861168364943,-2.682716587896021,1.0996266963043246
0.9622670666290374,-1.151131532026659,-3.5773339784281246,1.1262886140031905
0.20971699176226666,-1.3559035655300633,-1.4716358384112658,1.1608295731084566
-0.2465835336333354,-1.5876717354537537,-4.0503058118213415,1.179029921388691
-0.5632184007338308,-1.6134214172919634,-2.982577472031109,1.1806032806561029
1.0883042563650154,-1.7053558981979036,-5.118223276289833,1.18567476905531
-0.6583762314473123,-1.8349585705163491,-5.791779384859081,1.1915504085746447
