log10_amp,log10_ls_mat,log10_ls_rbf,log10_noise,RMSE
1.2050084437919732,1.3553141415476253,0.27101182512036437,-1.1594749593723814,0.3033561583383787
-1.2534005636925927,0.904111092272606,0.7596246191966777,-2.315413053469075,0.31569221616813425
1.811268670275679,0.8586219682778816,0.2479943780015315,-2.0726561618739536,0.328875303418303
1.2587119987444697,1.5357065018904619,0.4804759907065641,-1.1180675541582734,0.33581033997781323
0.42987986467783934,1.0751872970961363,0.06345213106680983,-1.0429667501297877,0.3394977652003686
-0.6024448525131454,0.2747283951552204,1.6086262651042023,-1.64126358140235,0.3415479439860443
1.308592542450255,0.5988368983189037,1.1583659001068622,-2.924374261000555,0.3451918830537519
2.105200578556762,0.08966604276242451,0.23862539219670886,-2.033311365799137,0.3453414521111715
-0.850821019954983,1.9039995909556677,0.8521780860577106,-3.316058430078109,0.3495732643770211
-0.04299694401310987,0.6344555403250777,0.9146798958229906,-3.4947476610867283,0.3512435973746576
1.5223000813752336,0.3698136533032299,-1.151131532026659,-3.5773339784281246,0.3586066942031306
1.7619268721057395,0.17418889669136906,1.7151691900597517,-0.10475690265593929,0.3586539455220389
-1.7003190545929974,1.4437219276537387,0.43299664868454624,-4.197471871256949,0.36437066464612977
-1.2141014971905144,0.4706434050920123,-1.7053558981979036,-5.118223276289833,0.365315141635937
1.1464979415680359,1.1557089670718885,0.6549304208591253,-0.8202462804297335,0.37667086623376883
-0.7917377351701445,-0.2573093417408058,0.5299237972407089,-0.386044734667628,0.37907372958645424
-0.31510130377445866,0.9921430918416032,1.3203585294899218,-5.6142788201427045,0.3833662346642383
-1.5225252989354714,0.8363103788396274,0.1429394376323527,-2.5989863745349826,0.38370603988867197
-0.9156516207146286,0.43641659635327734,0.9201584014482158,-4.30103437181937,0.38680126726624636
-0.4609770055053063,-1.5806775318141257,0.43260953964023763,-1.313472998016652,0.39110741798109305
0.3117302441438562,0.6880036333926057,-0.2520225932643744,-2.120503922415179,0.4003596037375611
1.5206702845306526,-0.26000818539677484,-0.07777132515503515,-4.0498056435871534,0.42796588374730615
1.978729661157288,0.8542969413987932,-0.3969294835920682,-2.3201231983267125,0.4418601270541018
2.410499053490562,-1.6445926077366502,-0.13140573665837518,-5.595462457235343,0.4517204227152933
-1.9030134830061587,1.9056774819480422,0.6481521974458266,-0.011865984173696898,0.49375555144642097
1.6157396222211435,-0.23222640659018667,-1.3559035655300633,-1.4716358384112658,0.5195469137474045
0.258128479235475,1.2679790568534601,1.2563338697894446,-0.7063943701522082,0.5708727518048402
-1.926791816690844,1.545619657871756,-0.42833536750289014,-2.7229312281972495,0.5892699847888542
0.9310653393365168,1.6660235382946271,-0.6244345918750787,-2.4706286568397466,0.7556743795072355
0.6831816890298364,1.9408986936026258,-0.7310038189757238,-3.030965997158208,0.8717244116014774
1.258890111696928,1.3614233731418384,-1.0435056922165826,-1.2450590189542148,0.874771443828062
2.8826265208109247,-0.5972668269066683,-1.5876717354537537,-4.0503058118213415,0.8832637417691045
-1.3662067830358975,1.6349565330929412,-0.8182652883653775,-0.467629347152555,0.9017670096538402
0.8673048470873264,-1.783688502223264,1.0855232703833493,-1.6602095779538364,0.9731331737474331
0.08581344092686805,-1.4876924162945127,1.3994197055594801,-4.528718706714804,1.0083826100836562
2.869739733232261,-1.931613240209022,1.6229265425367698,-4.605236175182418,1.0528042876018295
-0.26940701182748983,-0.8505747205870646,-1.6134214172919634,-2.982577472031109,1.065407454956757
-0.32569952805959523,-1.1828629919593512,1.950948847840141,-0.7485143451051146,1.0910639876117874
2.7739022334454537,-0.9267009851578498,-1.8349585705163491,-5.791779384859081,1.0973824662484428
2.3467795814265298,-1.6730122321913767,1.9879488396004223,-1.8055284315509506,1.1281376774348408
