Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
dg_ch3,Linear/Regularized,Linear Regression,C1,0.3657574350922258,0.7708356066612303,0.9635124286772853,-0.30759336518002356,1.0342315874424315,1.1961816683178916,6048,841
dg_ch3,Linear/Regularized,RidgeCV,C1,0.3657554056666401,0.7709495609665791,0.963513970181529,-0.307372451594893,1.0341006199208644,1.1960806185764528,6048,841
dg_ch3,Linear/Regularized,LassoCV,C1,0.36035496847052784,0.7785636226062485,0.9676073177837198,-0.29593014065847134,1.0280343272738117,1.1908349812728274,6048,841
dg_ch3,Linear/Regularized,ElasticNetCV,C1,0.36049778515887165,0.7788167446645572,0.9674992905339104,-0.29799779599342213,1.0286702655851578,1.1917845907014653,6048,841
dg_ch3,Linear/Regularized,BayesianRidge,C1,0.36574252568965493,0.7711482029681294,0.9635237534535253,-0.3070039021988844,1.0338784418764386,1.1959120186262584,6048,841
dg_ch3,Kernel/Neighbors,LinearSVR,C1,0.33796946152941987,0.7564594988588429,0.9843932801454215,-0.23968029953206016,1.0084808116146193,1.1647041908970606,6048,841
dg_ch3,Kernel/Neighbors,SVR_RBF,C1,0.9703910940688516,0.15190753185213127,0.20818086506842956,0.9590506905743421,0.16817122265106074,0.21168207277147805,6048,841
dg_ch3,Kernel/Neighbors,SVR_Poly3,C1,0.5408458164877895,0.6045842259413017,0.8198018642717826,-0.08322266617857887,0.8288634002721587,1.0887286656840416,6048,841
dg_ch3,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",C1,0.974134449877781,0.1438106734150869,0.19457654544951877,0.9598738707443291,0.16544506220836566,0.20954361029838756,6048,841
dg_ch3,Kernel/Neighbors,"kNN(k=5,dist)",C1,0.9999998726799524,7.850315866465936e-06,0.0004316960002487159,0.8865882247312833,0.2803037852439614,0.352281520920799,6048,841
dg_ch3,Tree Ensembles,RandomForest,C1,0.9990864640742193,0.02424064150442737,0.03656726207300108,0.9170732183413851,0.2501380636764676,0.3012369167714018,6048,841
dg_ch3,Tree Ensembles,GradientBoosting,C1,0.9751381266076895,0.1424371112196918,0.19076405873702565,0.895349692337002,0.2882875528653168,0.3384005366484421,6048,841
