Descriptor,Family,Model,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
homo_min,Linear/Regularized,Linear Regression,0.25774121012684015,0.821738706667822,1.026283195059769,6889,10
homo_min,Linear/Regularized,RidgeCV,0.2577646263375267,0.8218257827023564,1.0262670067347646,6889,10
homo_min,Linear/Regularized,LassoCV,0.2519080322942082,0.8245336041892141,1.0303079213176503,6889,10
homo_min,Linear/Regularized,ElasticNetCV,0.25224617101761193,0.825711249326998,1.0300750446146285,6889,10
homo_min,Linear/Regularized,BayesianRidge,0.2577198163548815,0.8221164990606571,1.026297984989329,6889,10
homo_min,Kernel/Neighbors,LinearSVR,0.2345169923813134,0.8047883197254736,1.0422150019594794,6889,10
homo_min,Kernel/Neighbors,SVR_RBF,0.8926359062779874,0.2796916589753715,0.3903184443717448,6889,10
homo_min,Kernel/Neighbors,SVR_Poly3,0.41176461717733126,0.7047480856825169,0.9136189837014644,6889,10
homo_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9064215589163229,0.26012043568771764,0.36439922611505815,6889,10
homo_min,Kernel/Neighbors,"kNN(k=5,dist)",0.9097871640502666,0.2566801860458479,0.3577863031223288,6889,10
homo_min,Tree Ensembles,RandomForest,0.9473497989401513,0.18988423400259144,0.27333142149110007,6889,10
homo_min,Tree Ensembles,GradientBoosting,0.9361648490909467,0.22360362023927335,0.30096742159680223,6889,10
homo_min,Tree Ensembles,DecisionTree,0.9309394105979825,0.22273624094067543,0.31304349470832105,6889,10
homo_min,Tree Ensembles,ExtraTrees,0.9402058514000151,0.208784779114359,0.2912855133424574,6889,10
homo_min,Tree Ensembles,HistGradientBoosting,0.947218535231269,0.19304140937533912,0.27367193454542915,6889,10
homo_min,Neural,MLP(100),0.9338764789713563,0.23785747784520025,0.3063144810765273,6889,10
homo_min,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9016223298453934,0.28027345293845995,0.37362661862981067,6889,10
lumo_min,Linear/Regularized,Linear Regression,0.2645262565103358,0.8203379319224361,1.021581758359835,6889,10
lumo_min,Linear/Regularized,RidgeCV,0.26454303921191746,0.8204267364182646,1.0215701026075041,6889,10
lumo_min,Linear/Regularized,LassoCV,0.26341362535202095,0.8223508201577822,1.022354195274737,6889,10
lumo_min,Linear/Regularized,ElasticNetCV,0.264464892957031,0.827348193654844,1.021624374822841,6889,10
lumo_min,Linear/Regularized,BayesianRidge,0.26448439243748434,0.8207129288002075,1.0216108327931208,6889,10
lumo_min,Kernel/Neighbors,LinearSVR,0.2326452227492718,0.8064238921186869,1.0434884432407499,6889,10
lumo_min,Kernel/Neighbors,SVR_RBF,0.9287360753840546,0.23185333817644793,0.31799801638082265,6889,10
lumo_min,Kernel/Neighbors,SVR_Poly3,0.46113627818393244,0.6541285551486125,0.8744379876747274,6889,10
lumo_min,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9245351319688684,0.24703272869007228,0.327236660082049,6889,10
lumo_min,Kernel/Neighbors,"kNN(k=5,dist)",0.9125134232795934,0.24662663320917189,0.35233862453009324,6889,10
lumo_min,Tree Ensembles,RandomForest,0.9171843909214007,0.2495261188664596,0.3428038123493423,6889,10
lumo_min,Tree Ensembles,GradientBoosting,0.9120314424367895,0.2678850162518102,0.35330784302054163,6889,10
lumo_min,Tree Ensembles,DecisionTree,0.8959020414539431,0.2746757036004628,0.38433563134354504,6889,10
lumo_min,Tree Ensembles,ExtraTrees,0.9167593295988667,0.24941775412494943,0.34368242780442737,6889,10
