model,descriptor,Q2(LOGO),MAE(LOGO),RMSE(LOGO),best_params
RandomForest,nbo_boltz,0.9495530249701236,0.18532614567269476,0.2675513260334515,"{'bootstrap': True, 'max_depth': 40, 'max_features': 'log2', 'min_samples_leaf': 1.0, 'n_estimators': 818.0}"
HistGradientBoosting,nbo_boltz,0.9504345121997818,0.18828744875879042,0.2652034902019185,"{'l2_regularization': 0.4681427711179482, 'learning_rate': 0.18532904140623652, 'max_depth': 6, 'max_leaf_nodes': 218.0, 'min_samples_leaf': 27.0}"
