loss,status,q2
0.05119881556075978,ok,0.9488011844392402
0.052460791697999776,ok,0.9475392083020002
0.05261832061463212,ok,0.9473816793853679
0.051876816092592315,ok,0.9481231839074077
0.05232930849445672,ok,0.9476706915055433
0.06821008633196102,ok,0.931789913668039
0.05506134740951418,ok,0.9449386525904858
0.061138080727849986,ok,0.93886191927215
0.0536964389099831,ok,0.9463035610900169
0.05852771193125361,ok,0.9414722880687464
0.056853489328523965,ok,0.943146510671476
0.050879212971212784,ok,0.9491207870287872
0.051613595109009536,ok,0.9483864048909905
0.05155130615987613,ok,0.9484486938401239
0.06658925576996155,ok,0.9334107442300384
0.052323176950215045,ok,0.947676823049785
0.05803410855178914,ok,0.9419658914482109
0.052112720620475894,ok,0.9478872793795241
0.05123286733450283,ok,0.9487671326654972
0.05237720786147049,ok,0.9476227921385295
0.053679987482584735,ok,0.9463200125174153
0.052041413526813685,ok,0.9479585864731863
0.05258477057466604,ok,0.947415229425334
0.05150003354638,ok,0.94849996645362
0.05266003657566953,ok,0.9473399634243305
0.051134979842272554,ok,0.9488650201577274
0.05111674326180471,ok,0.9488832567381953
0.05196877003820621,ok,0.9480312299617938
0.05293656762619803,ok,0.947063432373802
0.05057478915288516,ok,0.9494252108471148
0.05160476135603986,ok,0.9483952386439601
0.06001651481235515,ok,0.9399834851876449
0.05173366760875808,ok,0.9482663323912419
0.052455094650337264,ok,0.9475449053496627
0.052507720321899654,ok,0.9474922796781003
0.05289105159008656,ok,0.9471089484099134
0.051327240950683084,ok,0.9486727590493169
0.052118662818911976,ok,0.947881337181088
0.05246788489136267,ok,0.9475321151086373
0.05206333035650845,ok,0.9479366696434915
0.05172265704791901,ok,0.948277342952081
0.050804172815617665,ok,0.9491958271843823
0.05154016961557184,ok,0.9484598303844282
0.05094247696796139,ok,0.9490575230320386
0.052620239867619656,ok,0.9473797601323803
0.05166169431594658,ok,0.9483383056840534
0.052411058193339244,ok,0.9475889418066608
0.050298098492097876,ok,0.9497019015079021
0.05098505063940284,ok,0.9490149493605972
0.05081138243240868,ok,0.9491886175675913
0.05185804468030075,ok,0.9481419553196992
0.051415840014744196,ok,0.9485841599852558
0.05158904614861759,ok,0.9484109538513824
0.05108874757298976,ok,0.9489112524270102
