descriptor,model,group,fold_idx,n_train,n_test,r2_fold,mae_fold,rmse_fold,best_score_inner,best_params_inner
dg_ch3,ExtraTrees,C3,9,5729,1160,0.9475872290753848,0.14914512767299207,0.20473317441974165,0.9285364138182844,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 600}"
dg_ch3,ExtraTrees,C4,10,6340,549,0.5666894492237271,0.5830427363180409,0.6658426116300095,0.9603648971570523,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C1,1,6048,841,0.8449318818018897,0.36657490957796335,0.4119286956161292,0.9323926587824845,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C12,2,6210,679,0.9903195190564023,0.11047102236349443,0.14396685077038174,0.9073729001234916,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C13,3,6483,406,0.9753090182639399,0.1513556905380145,0.2184749206675271,0.9112480796605125,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
nbo_boltz,ExtraTrees,C14,4,6471,418,0.8600560955392929,0.3324674906835515,0.4068245683187013,0.9203437457332615,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 600}"
nbo_boltz,ExtraTrees,C17,5,6082,807,0.9817861444676917,0.10278782561513473,0.13668037716535536,0.9043710607385782,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C18,6,6285,604,0.9845678937640009,0.1454078763700613,0.1905071617143271,0.9075744795083382,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C19,7,6206,683,0.9727999197745208,0.1522895111096442,0.21967208111336498,0.9076802034817023,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 600}"
nbo_boltz,ExtraTrees,C2,8,6147,742,0.988643947160574,0.08993113749060018,0.1099906206012338,0.9090660782335632,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C3,9,5729,1160,0.8910197258350838,0.2457695316622325,0.2952185264696365,0.9134739990732206,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}"
nbo_boltz,ExtraTrees,C4,10,6340,549,0.5969761123962303,0.5618284474019027,0.6421512718862086,0.9511210243496327,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 600}"
dg_ch3,GradientBoosting,C1,1,6048,841,0.9107659315656952,0.27111829480064,0.312482812936192,0.9393130657368436,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C12,2,6210,679,0.9701942669751062,0.1937308070689977,0.25261779559386527,0.9236952446323287,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C13,3,6483,406,0.9538113634243981,0.22212033775668555,0.29881334044408253,0.9218908095352731,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C14,4,6471,418,0.9200921114983843,0.2555320352573103,0.30741496588379125,0.9262762067489712,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C17,5,6082,807,0.9712385404613376,0.13678345876956322,0.17175551277239975,0.9258912287894304,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 200}"
dg_ch3,GradientBoosting,C18,6,6285,604,0.9709372671509245,0.2048477574476579,0.26143692660641193,0.9283143381062959,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C19,7,6206,683,0.9807935161402458,0.1449821528043161,0.18459235256340784,0.9259985942047037,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C2,8,6147,742,0.9814096157400719,0.11450690726210913,0.1407298204248649,0.9309426364160505,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C3,9,5729,1160,0.9293678853101173,0.1838850638052985,0.23766802904547124,0.9274334043253785,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,GradientBoosting,C4,10,6340,549,0.6154145206619779,0.5506200102841559,0.627290043640884,0.9510659423035441,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C1,1,6048,841,0.9411007880191157,0.21637646648780454,0.25387242447227226,0.9423308657439442,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C12,2,6210,679,0.9716855597511599,0.18626041492413345,0.24621699565295915,0.9330873571217815,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C13,3,6483,406,0.9614278841456737,0.2037432040446184,0.27306695184675,0.9316244880193153,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C14,4,6471,418,0.9355263404790446,0.21835450798892178,0.27613492554619146,0.9319398442168036,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C17,5,6082,807,0.9586542964110403,0.1595713082341811,0.2059303787175583,0.8657994201009938,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}"
nbo_boltz,GradientBoosting,C18,6,6285,604,0.9741886156854022,0.19476720703063224,0.24637937723172715,0.9352803798735815,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C19,7,6206,683,0.9825455454989928,0.13608999105191696,0.17597173345744324,0.9342090216146287,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C2,8,6147,742,0.98245814311787,0.11293760029143393,0.13670353084579803,0.9358012218047953,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C3,9,5729,1160,0.9444326999116598,0.16155986249070506,0.2108042236008336,0.9370949126484682,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
nbo_boltz,GradientBoosting,C4,10,6340,549,0.6192289621526592,0.5503935178126551,0.6241714601961422,0.9560845969456381,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 500}"
dg_ch3,HistGradientBoosting,C1,1,6048,841,0.9193227822816795,0.243763359361264,0.2971229816466875,0.9457261280322353,"{""model__learning_rate"": 0.05, ""model__max_depth"": 12, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C12,2,6210,679,0.9848882187254424,0.13903988421896998,0.17987543906878128,0.9250983711430989,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C13,3,6483,406,0.9671955242956806,0.18032668637944768,0.25182506906908664,0.9267929953857591,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 63}"
dg_ch3,HistGradientBoosting,C14,4,6471,418,0.922701882914923,0.2498435497282616,0.30235324670096525,0.9343221884938684,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C17,5,6082,807,0.9837312527054167,0.09707225331234204,0.12917613358857352,0.9328053681955515,"{""model__learning_rate"": 0.1, ""model__max_depth"": 12, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C18,6,6285,604,0.9743456191953608,0.1893800856490652,0.2456289054680467,0.9332697239537072,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C19,7,6206,683,0.9786808229449889,0.15173277318363015,0.19448001984652183,0.9284711129334571,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C2,8,6147,742,0.9889521017950912,0.08671296678182785,0.1084880197879324,0.9371057316812467,"{""model__learning_rate"": 0.1, ""model__max_depth"": 12, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C3,9,5729,1160,0.9277552991256955,0.1917035564002904,0.24036579103730585,0.9310636581745892,"{""model__learning_rate"": 0.2, ""model__max_depth"": 12, ""model__max_leaf_nodes"": 31}"
dg_ch3,HistGradientBoosting,C4,10,6340,549,0.5978113543877412,0.5796553054284131,0.6414855174471791,0.9565053823974434,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
nbo_boltz,HistGradientBoosting,C1,1,6048,841,0.935848948494328,0.21959428860454389,0.26494923995759073,0.9491793206650098,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__max_leaf_nodes"": 31}"
