descriptor,model,group,fold_idx,n_train,n_test,r2_fold,mae_fold,rmse_fold,best_score_inner,best_params_inner
nbo_boltz,RandomForest,C13,3,6483,406,0.9739770941665632,0.15872885913454798,0.2242902041851114,0.9283434126836239,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C14,4,6471,418,0.946052471584252,0.2031921745451945,0.25258988500335294,0.9330411233772399,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C17,5,6082,807,0.9836139539977818,0.09582621911799698,0.12964098128710427,0.8536793217279224,"{""model__max_depth"": null, ""model__min_samples_leaf"": 5, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C18,6,6285,604,0.9807623968676183,0.16443191823441622,0.2127032790458337,0.9275252446328999,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C19,7,6206,683,0.9723226172048803,0.15406936305653354,0.22159108405528,0.9281169567671814,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C2,8,6147,742,0.9892369549012764,0.08251810005662462,0.10708028790245896,0.9286629992540384,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C3,9,5729,1160,0.9345885449247775,0.17277559124761258,0.22871600954164306,0.9334684921169089,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 500}"
nbo_boltz,RandomForest,C4,10,6340,549,0.6090565751539473,0.5551554895073265,0.6324539506273041,0.9620505923504765,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 200}"
dg_ch3,SVR_RBF,C1,1,6048,841,0.9421337444737405,0.20420160343771201,0.25163640880824856,0.9191822148696669,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C12,2,6210,679,0.9574753693800802,0.24261467196827263,0.30174099108282526,0.9342420253985196,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C13,3,6483,406,0.949088477851992,0.2518919120093803,0.3137187327784609,0.9302289989980104,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C14,4,6471,418,0.18807908175280075,0.9100235109012973,0.9799119283064671,0.9551121790446546,"{""model__C"": 10, ""model__gamma"": ""scale""}"
dg_ch3,SVR_RBF,C17,5,6082,807,0.9539812607613422,0.16202583020762468,0.21725640201818366,0.9404281035256374,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C18,6,6285,604,0.9567934082745602,0.24817515736501033,0.3187672597449969,0.9375069213753408,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C19,7,6206,683,0.9678672884152355,0.18997838817373167,0.2387610388913095,0.9349216154308255,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C2,8,6147,742,0.9711719345462182,0.14533574760400697,0.17524663995679746,0.9389921364065794,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C3,9,5729,1160,0.9379742694424984,0.15626086047942198,0.22271814679531993,0.9257349352740489,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,SVR_RBF,C4,10,6340,549,0.7439503314297311,0.442189350957017,0.5118398107012981,0.9415019244314417,"{""model__C"": 1, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C1,1,6048,841,0.8377892180775677,0.35816241271295723,0.4213089132950716,0.9401413896201488,"{""model__C"": 100, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C12,2,6210,679,0.9704569641596849,0.20779203247172362,0.251502089861488,0.9207091743811813,"{""model__C"": 1, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C13,3,6483,406,0.9634561390129974,0.20874952798500168,0.2657906053591163,0.9220649962272264,"{""model__C"": 1, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C14,4,6471,418,0.8599537944569826,0.3156955901561802,0.40697323856852474,0.9274263954837115,"{""model__C"": 1, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C17,5,6082,807,0.9679172673057427,0.14164477663878036,0.18140151140891517,0.9165367833917198,"{""model__C"": 10, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C18,6,6285,604,0.9616523913619278,0.22832850221224804,0.3003086542080534,0.9224801002448704,"{""model__C"": 10, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C19,7,6206,683,0.9737932267949115,0.1684405184891391,0.21562372633881952,0.9182347582325774,"{""model__C"": 10, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C2,8,6147,742,0.9635769663344999,0.1517425466317444,0.19698357169673364,0.9270481894637947,"{""model__C"": 10, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C3,9,5729,1160,0.8868862708698584,0.23526458880945716,0.3007650168316233,0.931620010658699,"{""model__C"": 1, ""model__gamma"": 0.1}"
nbo_boltz,SVR_RBF,C4,10,6340,549,0.7646673971558626,0.42642927468235736,0.49069654739218166,0.9350516739389523,"{""model__C"": 1, ""model__gamma"": 0.1}"
dg_ch3,"kNN(k=5,dist)",C1,1,6048,841,0.8956042610123424,0.2699258226732225,0.3379886953880855,0.9205999446912001,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C12,2,6210,679,0.9267071710954989,0.24275734094755907,0.39613642675146316,0.9138090515166007,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C13,3,6483,406,0.9695717647823454,0.17646217542999432,0.24253297477001087,0.9058441299874624,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C14,4,6471,418,0.9339325856268932,0.2091505877449537,0.2795270455092595,0.9111526649335984,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C17,5,6082,807,0.9716363579951648,0.12349623591458668,0.17056354836335372,0.9089408843379821,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C18,6,6285,604,0.9705685822690528,0.2014438750683311,0.2630899727374916,0.9096886354977615,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C19,7,6206,683,0.9678626204359084,0.17713835352518462,0.23877838089365078,0.907241222818197,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C2,8,6147,742,0.9797382782605939,0.11107972586162482,0.14691973067408398,0.9150537609356192,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C3,9,5729,1160,0.9136184930838727,0.20696292956515028,0.2628330943943872,0.9080817582280826,"{""model__p"": 1}"
dg_ch3,"kNN(k=5,dist)",C4,10,6340,549,0.5741385451711419,0.5809499685687098,0.660094508580579,0.9360211779601277,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C1,1,6048,841,0.92360873934482,0.23152105170987258,0.2891229902308338,0.902752229463631,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C12,2,6210,679,0.9333162412536706,0.22376718896913333,0.3778540428569241,0.8961665196761658,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C13,3,6483,406,0.9684362189871959,0.1740091021243099,0.24701704497437788,0.8888455233550878,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C14,4,6471,418,0.943765242349114,0.19852131687356783,0.2578888662458498,0.8935619934417247,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C17,5,6082,807,0.9648346815646215,0.14239086810252305,0.1899164142939992,0.8668707639971627,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C18,6,6285,604,0.976000081084617,0.17949337068837207,0.23757656113745654,0.8906351548959194,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C19,7,6206,683,0.973498770481667,0.15924472743746132,0.21683170443299946,0.8901746461366946,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C2,8,6147,742,0.9710520354556615,0.13316408126611148,0.17561069682336214,0.8892443062052724,"{""model__p"": 1}"
nbo_boltz,"kNN(k=5,dist)",C3,9,5729,1160,0.7560393773290678,0.3375288474027571,0.44170216373496823,0.9197883158137955,"{""model__p"": 2}"
nbo_boltz,"kNN(k=5,dist)",C4,10,6340,549,0.5984758268286678,0.5551374559393621,0.6409553860599491,0.9442334827098879,"{""model__p"": 1}"
