feature,mean_importance,std_importance
pH_corr,0.7983832954949054,0.010256076237091039
nbo_boltz,0.35422190465505543,0.00538319290894507
ha_pka,0.3471748987128811,0.0055323649986781034
[ha]tot,0.014704822015850574,0.0003131073098672099
[nucleophile],0.01402338882335219,0.0002652423496264015
