parameter,Family,Model,R2(test),MAE(test),RMSE(test),R2(train),MAE(train),RMSE(train)
hirsh_qcm5a_boltz,Tree Ensembles,RandomForest,0.9910460529742918,0.0773451430386821,0.11297791519958694,0.9987996761214291,0.02828411566338769,0.04123381851066926
hirsh_qcm5a_boltz,Tree Ensembles,GradientBoosting,0.9638448338830145,0.17455842380198494,0.2270238459568,0.9684045583438536,0.16172113361081425,0.21155171354723717
hirsh_qcm5a_boltz,Tree Ensembles,DecisionTree,0.9857387850561742,0.09129245833468805,0.1425819529083909,1.0,0.0,0.0
hirsh_qcm5a_boltz,Tree Ensembles,ExtraTrees,0.9920436393147695,0.06977723976843085,0.10649850895349906,1.0,2.1007637985000825e-14,2.5720359489990193e-14
hirsh_qcm5a_boltz,Tree Ensembles,HistGradientBoosting,0.9899275711876323,0.08264471850338016,0.11982664489175777,0.9932109069540433,0.06984543280835909,0.09806413741382328
hirsh_qcm5a_boltz,Neural,MLP(100),0.9340567493469779,0.22633680113493,0.30659952093119863,0.9357140280185854,0.22322323257430862,0.30176053393520635
hirsh_qcm5a_boltz,Gaussian Process,GPR_C*(RBF+White)_fixed,0.9342061733484882,0.2199214066807158,0.30625195458491783,0.9402172457928378,0.2019145105755345,0.2909995328332791
hirsh_qcm5h_boltz,Linear/Regularized,Linear Regression,0.29177718246276163,0.8080362685350022,1.0047806281746263,0.2990216750548983,0.7979081255655884,0.9964525589858777
hirsh_qcm5h_boltz,Linear/Regularized,RidgeCV,0.2918253809615666,0.8081596704363426,1.0047464371398986,0.29901930462902326,0.7980338840743156,0.996454243784714
hirsh_qcm5h_boltz,Linear/Regularized,LassoCV,0.29177742826556297,0.8080370988434814,1.00478045381007,0.29902167494239706,0.7979088699967368,0.996452559065839
hirsh_qcm5h_boltz,Linear/Regularized,ElasticNetCV,0.2918004689858652,0.8080953335113891,1.0047641093340387,0.299021131221781,0.7979673964092905,0.9964529455197955
hirsh_qcm5h_boltz,Linear/Regularized,BayesianRidge,0.29191430510064964,0.8084362299068156,1.0046833531105845,0.29899712929011113,0.798325651673679,0.9964700049433016
hirsh_qcm5h_boltz,Kernel/Neighbors,LinearSVR,0.26291091349895956,0.7946482445441505,1.0250529186385893,0.2672219858962137,0.7843564298917564,1.0188037795028049
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_RBF,0.9506860881343321,0.1863274637604773,0.26513741843898414,0.9531229054051479,0.1805439602206312,0.25768235176974735
hirsh_qcm5h_boltz,Kernel/Neighbors,SVR_Poly3,0.5312534213680997,0.6307861965662156,0.817438995139471,0.49078372690479233,0.6319742830606222,0.8492889414021924
hirsh_qcm5h_boltz,Kernel/Neighbors,"KernelRidge(RBF,alpha=1e-1)",0.9606284939282937,0.17459651591961933,0.236906681913409,0.9631465836196642,0.16852102159786944,0.22847737956485223
hirsh_qcm5h_boltz,Kernel/Neighbors,"kNN(k=5,dist)",0.9436673020365871,0.20740304555545955,0.28337828774280105,1.0,0.0,0.0
hirsh_qcm5h_boltz,Tree Ensembles,RandomForest,0.9932254721630741,0.06801120975566838,0.09827109875766224,0.9990345548098792,0.02508788603727859,0.03698010532587781
hirsh_qcm5h_boltz,Tree Ensembles,GradientBoosting,0.9707256881375741,0.15319478738728512,0.2042817847957798,0.9743610220218606,0.14355079236059456,0.19057006707338783
hirsh_qcm5h_boltz,Tree Ensembles,DecisionTree,0.9888910118428145,0.08619424323736129,0.1258414019479844,1.0,0.0,0.0
hirsh_qcm5h_boltz,Tree Ensembles,ExtraTrees,0.9936249950112672,0.0642156329611522,0.09532933435339151,1.0,2.1007637985000825e-14,2.5720359489990193e-14
hirsh_qcm5h_boltz,Tree Ensembles,HistGradientBoosting,0.9914850391166906,0.07786287573890781,0.11017362133709445,0.9937774022650436,0.06602335685130736,0.09388369966150281
