Descriptor,KernelLabel,FamilyTag,Best_log10_amp,Best_log10_ls_rbf,Best_log10_ls_mat,Best_log10_noise,Best_RMSE,best_amp,best_ls_mat,best_noise,best_ls_rbf
dg_ch3,GPR[Matern_1.5 + White],matern15,-0.5282913783526937,,0.587354246228009,-0.9927312159346985,0.25752691049532905,0.2962842881758699,3.86682258242176,0.10168778420087174,
dg_ch3,GPR[(RBF + Matern_1.5) + White],rbf_plus_matern15,0.8364184021756338,-1.3503701041529435,0.30239615435983885,-4.710634984644288,0.2608194630126241,6.861489485637318,2.00630129908704,1.946995803055205e-05,0.04463030921973942
nbo_boltz,GPR[Matern_1.5 + White],matern15,2.973629686113519,,0.5238369400135258,-2.669742315637255,0.30353751857588074,941.0868091311784,3.3406958687821033,0.002139231004708862,
nbo_boltz,GPR[(RBF + Matern_1.5) + White],rbf_plus_matern15,1.974489052758475,0.2748216798867752,1.163775979960329,-0.740269676764518,0.2972651652811241,94.29508422407419,14.580619611562255,0.18185712593834513,1.882875827143456
