log10_amp,log10_ls_rbf,log10_ls_mat,log10_noise,RMSE
-0.5282913783526937,,0.587354246228009,-0.9927312159346985,0.25752691049532905
-0.8847233398205069,,0.5543824737920856,-0.8830414559018521,0.25763997688316054
-1.0493049791121625,,0.6537678217576479,-1.0618155082408627,0.2578469241113681
-0.7305975264960857,,0.6362246931989225,-0.9736501568183518,0.2581414817490325
0.5767272733647368,,0.498712545131335,-1.0914949333860628,0.25862376703302103
2.4196331273630776,,0.4804759907065641,-1.1180675541582734,0.2593399574289098
-0.9467235582084705,,0.5249919782407354,-1.234071848773325,0.2596441850297074
-0.008575743335847067,,0.46032268384135744,-1.1393426939272884,0.26022947785236505
-0.28247620946799656,,0.8077086815903247,-1.2421156723870923,0.26040640281971
0.6257802479606221,,0.9928135881412389,-1.7440671172542714,0.26092932024437465
-0.6363262091038776,,0.5616496131233311,-0.5864611006444105,0.2612485647892417
-0.8500315121099105,,0.7184290606134747,-0.954678466668728,0.26138562444058033
0.785058376121154,,0.22030158251800958,-0.5134303205978127,0.2618096228128883
-1.3859937591905063,,0.7812285443171382,-1.9843284728943742,0.26236494935442845
-1.9332460839241665,,1.2996326337151105,-2.5762898650825745,0.26286964735009677
-0.17279549832613117,,0.3585104577462799,-0.19958121566148312,0.2630848463198161
-1.6485701347765174,,1.0178785071695473,-1.724528797005504,0.2632220081096613
-1.4758469147676572,,0.43260953964023763,-1.313472998016652,0.265416616434786
-0.3749005121942125,,1.118745817887578,-1.9000621673124238,0.2675193643949033
-1.9145165502612775,,1.6229265425367698,-4.605236175182418,0.2679307454707728
2.6493422988860913,,0.17430110972490465,-0.013658508668324298,0.2698845581866753
-1.1262689290873837,,1.0476346427921504,-1.560424658736617,0.27374575347479013
-1.72961062777908,,1.0855232703833493,-1.6602095779538364,0.2744231903056748
-0.11033192156367586,,0.37822140922808806,-1.4531181812053295,0.27555259589681935
-1.5244954965398099,,0.3091673608038109,-1.3669295524345437,0.27815086674740697
-0.7592535529704809,,1.5235787681854205,-2.829677555471598,0.2834279338984536
1.1750055511443476,,0.15926391943198795,-1.2642948306326012,0.2900201325279816
0.7026285638816796,,0.671097099122778,-2.362929118539495,0.2931107362834926
-0.3272144459343542,,-0.03515564687835576,-0.7512823793120802,0.2954003875718148
-1.3596155203681408,,1.3994197055594801,-4.528718706714804,0.3044670262205333
-0.4837003707690767,,1.406058622194001,-1.8367824176953198,0.3310617652807155
-0.9500131997964508,,1.4990001777597861,-2.1058527488136307,0.3318494872201429
0.19658120056633988,,0.10708380905968473,-1.6347476291407763,0.33913174016107955
-0.49593613216077614,,-0.020816066339888344,-1.4596511167570014,0.3413742879179206
0.37249631553597473,,-0.19016210145590562,-0.17026164544014963,0.3446110086160879
-0.6914568073427643,,0.8106137529930678,-3.1702959617370006,0.3482508462898373
2.8799994886945846,,0.8521780860577106,-3.316058430078109,0.35405899568909227
-1.6544605788809803,,0.9348803630189843,-0.010091428790089207,0.36395888020885586
-1.2993477018802622,,-0.24217942380546764,-0.5601970713588655,0.36401151998033926
1.6010570391109435,,0.4401102539667099,-2.377354262070755,0.36927190584988334
2.164059780881903,,1.7479798008599652,-2.160528002946513,0.3741208589132409
2.084973821066825,,1.2563338697894446,-0.7063943701522082,0.3784700122733776
-1.2907421737965015,,1.1516061746305721,-0.36154999080967154,0.38560813170880986
-1.2271048128731183,,1.2097856397489282,-0.3758200159798263,0.4057501709201899
0.02163985968629953,,0.6875894681625674,-3.131299199115701,0.408738941648649
1.8844180243044428,,-0.29012119561594607,-1.9381297030286402,0.43260848524664636
-1.0547033357976245,,0.06612656747198109,-2.153572322902914,0.44870026203779606
1.3662860080063384,,-0.36209142773100245,-3.655389137578238,0.4719840031691382
0.40689168240157975,,-0.4458003046343937,-0.5882404832524792,0.4729113194085913
2.490465867174149,,-0.49568782489206087,-0.1520872393949087,0.517705063704946
0.36521506764388806,,0.08506263024662292,-2.465523690344324,0.5292241097294206
1.5816483002896817,,-0.5509593161620217,-0.8537207820269999,0.5330435974068072
-1.971613267648048,,-0.16290277977081113,-4.883304359226625,0.5592870907808274
0.23064935174877155,,1.6915328806765806,-1.0530019944088336,0.5921490254849453
2.938114657374451,,-0.6049073177165956,-0.20153816499241797,0.5927071820000069
-1.5557407596708126,,-0.13140573665837518,-5.595462457235343,0.5939171501243634
-0.8286861430049228,,0.6042044339997239,-3.4628179249936855,0.60297669576165
1.0455207454415967,,0.9201584014482158,-4.30103437181937,0.6085197057072529
-1.591265290239221,,1.9879488396004223,-1.8055284315509506,0.6333907961683192
0.17498976825403145,,-0.07777132515503515,-4.0498056435871534,0.6450593794243713
-0.38012678153461205,,-0.7153943271691569,-0.7816073205326739,0.6516260553643833
1.740178864802004,,1.3203585294899218,-5.6142788201427045,0.6930499509710241
1.2611674529864914,,-0.8182652883653775,-0.3514956967014427,0.7513098328763497
-0.5577725751358089,,-0.7828682190171267,-0.007728682849547086,0.7594260590346803
0.05428320526848718,,-0.9659285476829084,-2.314321238813448,0.8141434687311284
0.5788019099017546,,-1.0190371698796497,-2.8403012220430774,0.8409677228760721
-1.143949030505469,,1.8631444625429365,-0.868826963155234,0.8461472485082393
0.9622670666290374,,-1.151131532026659,-3.5773339784281246,0.8972193157567896
-0.978578739949189,,1.950948847840141,-0.7485143451051146,0.9365405761401359
-0.04767203396679057,,-1.2679657460761085,-3.8285625088723134,0.9423203633728002
0.20971699176226666,,-1.3559035655300633,-1.4716358384112658,0.9809228498265242
-1.7795351231885095,,-1.4582658936307387,-5.5044227707238065,1.0184892866598412
2.3046524095671734,,0.43299664868454624,-4.197471871256949,1.0675507413358363
-0.2465835336333354,,-1.5876717354537537,-4.0503058118213415,1.0701110269142988
-0.5632184007338308,,-1.6134214172919634,-2.982577472031109,1.0800442722381696
-1.8123288380759033,,0.25080273781180895,-5.06149341852914,1.1032022509655874
1.0883042563650154,,-1.7053558981979036,-5.118223276289833,1.1130985070127841
-0.6583762314473123,,-1.8349585705163491,-5.791779384859081,1.1519976395369425
0.8676706099285636,,-1.9912381393241882,-2.7076858619422604,1.1819879572617318
-1.421787641547408,,0.9342269919661528,-5.954163465111217,1.3420284278080568
