Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
lumo_min,Gaussian Process,GPR[RBF + White],C1,0.9706394154902067,0.15837309064353508,0.2125855068058753,0.873584217995376,0.32097627155599684,0.3719301935588565,1000,841
lumo_min,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9868748307442622,0.09729730848160618,0.1421358923660687,0.9107032315198641,0.27085174814539925,0.3125925762057563,1000,841
lumo_min,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9766039478281833,0.13970754053139597,0.1897678314412419,0.8728461813751024,0.31700947481429165,0.37301430909572186,1000,841
lumo_min,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9732998038007171,0.15004839564230846,0.2027255701529251,0.8744215590503287,0.3172522452637365,0.3706963687942508,1000,841
lumo_min,Gaussian Process,GPR[RQ + White],C1,0.972151063552004,0.15368775355638212,0.20704064465251687,0.8753926175333697,0.31754141085614085,0.3692603482724202,1000,841
lumo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9749935179383812,0.14469761088368044,0.196190332712634,0.8740198147946252,0.3171992415118769,0.3712888519359904,1000,841
lumo_min,Gaussian Process,GPR[RBF + White],C12,0.9616053958730479,0.16826362383326854,0.22180044667445678,0.9363356361109091,0.31013264909599364,0.36920046520318617,1000,679
lumo_min,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9950952770249862,0.054148225977311844,0.07927469153567526,0.5510714714871727,0.6258230039872615,0.9803985040963021,1000,679
lumo_min,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9680941564046072,0.1495382206829379,0.20219128637963815,0.9446011857553057,0.2857968926732187,0.3444008955728898,1000,679
lumo_min,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9650791182294229,0.15853101791459137,0.21152900183193238,0.9416594367796228,0.29590180961315915,0.3534266923554944,1000,679
lumo_min,Gaussian Process,GPR[RQ + White],C12,0.9623804644482868,0.16601187028865025,0.21955029961552885,0.9389915636164062,0.3028124637208936,0.36141733958166944,1000,679
lumo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9660280217573612,0.15765506271505114,0.20863527470693466,0.937712273981222,0.3047965153215829,0.36518697184480936,1000,679
lumo_min,Gaussian Process,GPR[RBF + White],C13,0.9625997531856298,0.1765976578659941,0.22850221248379868,0.9567319092506883,0.2227343443842601,0.2892119789552301,1000,406
