Descriptor,Family,Model,Q2(LOGO),MAE(cv),RMSE(cv),n_samples,n_groups
homo_min,Gaussian Process,GPR[RBF + White],0.9041895993183295,0.2604626313440394,0.3687193004544971,6889,10
homo_min,Gaussian Process,GPR[RBF(ARD) + White],0.7647345303469854,0.37639690193948766,0.5777881596307826,6889,10
homo_min,Gaussian Process,GPR[Matern_1.5 + White],0.925969453048909,0.2497013658645039,0.32411193374977104,6889,10
homo_min,Gaussian Process,GPR[Matern_2.5 + White],0.9171149064760591,0.25625869942614593,0.34294759284447135,6889,10
homo_min,Gaussian Process,GPR[RQ + White],0.9211572955233748,0.25265145340358497,0.33448011165358027,6889,10
homo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],0.9007019324253571,0.2720323342634967,0.3753703293217495,6889,10
lumo_min,Gaussian Process,GPR[RBF + White],0.907253887137136,0.277163056034361,0.3627750422069406,6889,10
lumo_min,Gaussian Process,GPR[RBF(ARD) + White],0.8454181296361624,0.3057406753082062,0.4683481637469313,6889,10
lumo_min,Gaussian Process,GPR[Matern_1.5 + White],0.9204547812214173,0.25222543908787937,0.3359669705338247,6889,10
lumo_min,Gaussian Process,GPR[Matern_2.5 + White],0.9162802570801668,0.2645937902806593,0.34467000145814913,6889,10
lumo_min,Gaussian Process,GPR[RQ + White],0.9085502342080037,0.275861690125581,0.3602307993115695,6889,10
lumo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],0.9122259857243543,0.27188714624171867,0.35291695498864123,6889,10
nbo_min,Gaussian Process,GPR[RBF + White],0.9200528957801761,0.2608256267326009,0.3368146023928217,6889,10
nbo_min,Gaussian Process,GPR[RBF(ARD) + White],0.834325751990758,0.33088286415396395,0.48486077013637147,6889,10
nbo_min,Gaussian Process,GPR[Matern_1.5 + White],0.919955660304683,0.258302960120013,0.33701936513101083,6889,10
nbo_min,Gaussian Process,GPR[Matern_2.5 + White],0.9197819061636213,0.2592742600601714,0.33738495479288483,6889,10
nbo_min,Gaussian Process,GPR[RQ + White],0.9174495031949039,0.26253974336076025,0.34225467463851633,6889,10
nbo_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],0.9202313798757746,0.2577613752626706,0.3364384184117601,6889,10
hirsh_qa_min,Gaussian Process,GPR[RBF + White],0.701731472846329,0.4790728833454953,0.6505688393424846,6889,10
hirsh_qa_min,Gaussian Process,GPR[RBF(ARD) + White],0.40798063115258854,0.6632847129255887,0.9165528258812561,6889,10
hirsh_qa_min,Gaussian Process,GPR[Matern_1.5 + White],0.7051370042264231,0.4653965601583448,0.6468441872047468,6889,10
hirsh_qa_min,Gaussian Process,GPR[Matern_2.5 + White],0.700831612325945,0.471921626951165,0.6515494663272069,6889,10
hirsh_qa_min,Gaussian Process,GPR[RQ + White],0.7059605181508761,0.46524797396463285,0.6459402798763875,6889,10
hirsh_qa_min,Gaussian Process,GPR[(RBF + Matern_1.5) + White],0.7058296173175556,0.46418640474349787,0.6460840440947136,6889,10
