Descriptor,Family,Model,Heldout_Substrate,R2(train),MAE(train),RMSE(train),R2(test),MAE(test),RMSE(test),n_train,n_test
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C1,0.9754933817999053,0.14228054383303396,0.1942195737101139,0.9280766841503123,0.23429963613685498,0.2805405467090783,1000,841
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C1,0.9969106243174044,0.04907487879400645,0.06895831898926172,0.9599720383670477,0.16803888857134572,0.20928713160081858,1000,841
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C1,0.9808120908418788,0.12529888840647752,0.17185617086678998,0.9324858474575102,0.22440209805731462,0.2718054738482193,1000,841
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C1,0.9774022304180794,0.1363593226484236,0.1865022571346881,0.9315578916087153,0.22753198531193372,0.2736670295120832,1000,841
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C1,0.9769156642561418,0.1378313262526908,0.18849941002264747,0.9327658845435848,0.22528998843940723,0.27124118693400384,1000,841
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C1,0.9802155262408265,0.12742841337305513,0.17450728256968284,0.9314566797264325,0.22672996393821807,0.27386930354586264,1000,841
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C12,0.9750827399678622,0.13245828218143582,0.17868062446165095,0.9106268924122469,0.35637073731601676,0.4374389667130006,1000,679
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C12,0.9948444197411009,0.056130446301975126,0.08127670624266792,0.14391938260542725,0.9741353895467502,1.3538525573168958,1000,679
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C12,0.9835776798695948,0.10703303661581602,0.14505896562294016,0.9113966523256847,0.35008083216846975,0.43555108808697185,1000,679
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C12,0.9784135242711004,0.12300444221592298,0.1663099340518675,0.9131576830235543,0.3494380809564002,0.43120097932520235,1000,679
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C12,0.9771036950749784,0.12675147093214092,0.17128132719822386,0.9127046940743196,0.3489923673255213,0.4323241369469987,1000,679
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C12,0.9831392942689047,0.1084747873268754,0.14698235237228213,0.9126821510575119,0.34804509977392784,0.4323799547316563,1000,679
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C13,0.9752385336909027,0.14166766259737357,0.18592652607074206,0.9688790144272518,0.18967613381818116,0.24527827450564466,1000,406
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C13,0.9960461007723966,0.053783123330240656,0.07429609255177748,0.14551228470719058,0.9437671089853868,1.2852432240641036,1000,406
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C13,0.9812095822053629,0.12250700613839957,0.16196508140810215,0.9662808923719806,0.1941250690687518,0.2553115413320237,1000,406
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C13,0.9772077184852282,0.1353281785178271,0.1783803762272205,0.9673975405190032,0.1924526750925388,0.2510484782013331,1000,406
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C13,0.9760872066035299,0.1387666927771059,0.18271252996414905,0.967897611080016,0.1916703240124358,0.24911569326355387,1000,406
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C13,0.9807580236946616,0.12402129634488258,0.16389964508982607,0.9662292845040028,0.19404653936905006,0.25550684671707663,1000,406
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C14,0.9726306015384591,0.14970037695310917,0.1946553512140306,-1.8257904919898515,1.6604850105502467,1.8281008842431161,1000,418
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C14,0.995796677698741,0.05358292577993072,0.0762834044806426,-6.118911169394892e-05,0.8153738504167096,1.0875355581886004,1000,418
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C14,0.9800115815298059,0.12707728382578354,0.16635005072901793,0.6549175883939491,0.6013118664207889,0.6388392500515532,1000,418
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C14,0.9757761843801099,0.1404859576620771,0.18312810323699116,-0.7493824425253877,1.3313929801037474,1.4383764393603453,1000,418
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C14,0.9741924083942161,0.14530949086230208,0.18901986988805097,-0.7147380262735246,1.3152866488408528,1.4240625595689786,1000,418
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C14,0.9782962242934244,0.1327626558334544,0.17334102783947936,-3.1617929494636847,2.0587953986089116,2.2185560946347107,1000,418
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C17,0.9762194882932109,0.1386853163671479,0.18668172691045742,0.9677010658275309,0.14233474891537387,0.18201170605089204,1000,807
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C17,0.9972937298350215,0.04579566066670795,0.06297624860180046,0.978077176467712,0.11226146327077063,0.14995241647758173,1000,807
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C17,0.9839747829668255,0.11296933319371223,0.15324742009347034,0.9657161721406129,0.1448534248431539,0.1875209859113759,1000,807
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C17,0.9792244580713291,0.12890160088026933,0.17448873435586518,0.9667090382891483,0.14396427759825692,0.18478571529465754,1000,807
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C17,0.9778648079527255,0.13336576986857246,0.18010794005760222,0.9667677744384189,0.1437367210202889,0.18462263209801053,1000,807
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C17,0.9836378749406816,0.11417943384643908,0.15484994870372007,0.9661697935299587,0.1444272703561492,0.18627627683283057,1000,807
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C18,0.9753972251739692,0.13321794825032643,0.1779155748600741,0.9530722103788155,0.2632991238690124,0.332210805223162,1000,604
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C18,0.996121548273631,0.04923607208797517,0.07064006943574665,0.27210685220829844,0.96030918479711,1.3083758521895494,1000,604
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C18,0.9818258843707539,0.1136690724067922,0.15291446363419722,0.9568832498355254,0.2556979508177878,0.318435673175281,1000,604
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C18,0.9779437869061318,0.12599325002620324,0.1684563540163185,0.9557472344728732,0.2588898955959444,0.32260337965797486,1000,604
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C18,0.9767664478959097,0.1293222668478124,0.17289392301874776,0.9547487597051266,0.2614409757860908,0.32622252747027936,1000,604
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C18,0.9815019604148068,0.11470367760408275,0.15427117046222627,0.9570229227214382,0.2552475771651946,0.3179194827455135,1000,604
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C19,0.9751649601507023,0.1348661285418734,0.1814486226767674,0.9372017827019982,0.2790332647123647,0.3337823973331884,1000,683
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C19,0.9957474091928146,0.05281730037838004,0.07508411105418838,0.1898764232106639,0.8781722413614492,1.1988515461004368,1000,683
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C19,0.9828870213541723,0.11156027301539576,0.1506204877277479,0.9497474719209495,0.24366011977739183,0.2985855108950686,1000,683
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C19,0.9779170053775399,0.1270452184485575,0.17110008634360455,0.9476138157876671,0.249654280783507,0.3048583921814019,1000,683
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C19,0.9762648827970144,0.13161640653232545,0.17738501770049622,0.9448057635819139,0.2583213999129773,0.31292238863928623,1000,683
hirsh_qcm5h_boltz,Gaussian Process,GPR[(RBF + Matern_1.5) + White],C19,0.9826489579235508,0.1124329279963708,0.15166453113234046,0.9499980362950322,0.24237655251563656,0.297840191341401,1000,683
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF + White],C2,0.9791862718032408,0.13538818468342664,0.1774560643777901,0.9714386906485118,0.12698989639870042,0.17443394654044192,1000,742
hirsh_qcm5h_boltz,Gaussian Process,GPR[RBF(ARD) + White],C2,0.9965986709140573,0.05062866982733006,0.07173650805049842,0.9913056930146256,0.07344809477057399,0.09624084676328212,1000,742
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_1.5 + White],C2,0.9861465679833681,0.10892951359850779,0.14477534048072396,0.9696584815747492,0.13027138132871985,0.17978796043446443,1000,742
hirsh_qcm5h_boltz,Gaussian Process,GPR[Matern_2.5 + White],C2,0.9821032584651268,0.12461236031419605,0.1645518953941577,0.9711830203471286,0.12798424404464298,0.17521294126532033,1000,742
hirsh_qcm5h_boltz,Gaussian Process,GPR[RQ + White],C2,0.9808686380808778,0.12897514385101191,0.17013311351012045,0.9706646158516449,0.12911580204856699,0.17678191740550395,1000,742
