scheme,n_folds,GPR/dg_ch3,RF/NBO,HGBT/NBO,kNN(k=5)/dg_ch3,DecisionTree/dg_ch3,1-NN analogue/dg_ch3,kNN(k=5)/NBO,DecisionTree/NBO,1-NN analogue/NBO
per_compound,10,0.953,0.948,0.948,0.924,0.93,0.91,0.914,0.939,0.912
similar_species,6,0.934,0.858,0.872,0.837,0.9,0.815,0.821,0.839,0.793
dg_ch3_k6,6,0.946,0.875,0.878,0.855,0.91,0.853,0.814,0.859,0.807
kinetic_k6,6,0.939,0.942,0.944,0.854,0.91,0.84,0.861,0.921,0.847
dg_ch3_k5,5,0.813,0.754,0.749,0.68,0.768,0.686,0.655,0.739,0.665
kinetic_k5,5,0.818,0.757,0.754,0.681,0.769,0.68,0.655,0.739,0.663
dg_ch3_k4,4,0.778,0.744,0.732,0.659,0.755,0.669,0.632,0.726,0.648
kinetic_k4,4,0.813,0.758,0.754,0.681,0.773,0.682,0.654,0.741,0.664
aliphatic_aromatic,2,-4.817,0.267,0.263,0.17,0.243,0.141,0.204,0.26,0.164
